Time,Implicit African-American Bias
1/1/2017,0.328345417
2/1/2017,0.316903613
3/1/2017,0.335263588
4/1/2017,0.335224358
5/1/2017,0.33997238
6/1/2017,0.32486373
7/1/2017,0.32420507
8/1/2017,0.307150424
9/1/2017,0.321141883
10/1/2017,0.327141533
11/1/2017,0.320353866
12/1/2017,0.319323979
1/1/2018,0.315339024
2/1/2018,0.311178744
3/1/2018,0.314802676
4/1/2018,0.31981963
5/1/2018,0.307040642
6/1/2018,0.33162432
7/1/2018,0.314804434
8/1/2018,0.297405542
9/1/2018,0.312763787
10/1/2018,0.308238825
11/1/2018,0.310352132
12/1/2018,0.312819387
1/1/2019,0.319438507
2/1/2019,0.325923915
3/1/2019,0.313241512
4/1/2019,0.322479552
5/1/2019,0.31742929
6/1/2019,0.319247211
7/1/2019,0.317718196
8/1/2019,0.317210496
9/1/2019,0.317735918
10/1/2019,0.316468069
11/1/2019,0.318835461
12/1/2019,0.323694441
1/1/2020,0.315819391
2/1/2020,0.311383366
3/1/2020,0.320321757
