Time,Implicit Gender-Career Bias
1/1/2017,0.349023365
2/1/2017,0.376661759
3/1/2017,0.386733902
4/1/2017,0.379281549
5/1/2017,0.38395765
6/1/2017,0.366093438
7/1/2017,0.365526562
8/1/2017,0.379525886
9/1/2017,0.360220275
10/1/2017,0.369816193
11/1/2017,0.371568362
12/1/2017,0.366009326
1/1/2018,0.373746261
2/1/2018,0.371743896
3/1/2018,0.353186028
4/1/2018,0.363303204
5/1/2018,0.366821891
6/1/2018,0.362304666
7/1/2018,0.362916277
8/1/2018,0.349742107
9/1/2018,0.365778328
10/1/2018,0.362785972
11/1/2018,0.360147803
12/1/2018,0.362457306
1/1/2019,0.356797196
2/1/2019,0.37789816
3/1/2019,0.370903354
4/1/2019,0.343472987
5/1/2019,0.359327784
6/1/2019,0.367538553
7/1/2019,0.393386877
8/1/2019,0.347304597
9/1/2019,0.361838415
10/1/2019,0.3642058
11/1/2019,0.352363858
12/1/2019,0.342795813
1/1/2020,0.359246743
2/1/2020,0.358260033
3/1/2020,0.374508103
